X: 150, Y: 214, pan: -0.785111, tilt: 0.145556, zoom: 0.0
X: 363, Y: 168, pan: -0.698778, tilt: 0.020444, zoom: 0.0
X: 596, Y: 124, pan: -0.595333, tilt: -0.096889, zoom: 0.0
X: 714, Y: 303, pan: -0.570556, tilt: -0.332667, zoom: 0.0
X: 750, Y: 399, pan: -0.570556, tilt: -0.456222, zoom: 0.0
X: 568, Y: 416, pan: -0.698444, tilt: -0.39, zoom: 0.0
X: 945, Y: 315, pan: -0.432944, tilt: -0.341111, zoom: 0.0
X: 945, Y: 410, pan: -0.432944, tilt: -0.470889, zoom: 0.0
X: 1055, Y: 66, pan: -0.405556, tilt: -0.014889, zoom: 0.0
X: 1402, Y: 240, pan: -0.253111, tilt: -0.054, zoom: 0.0
X: 1457, Y: 357, pan: -0.201167, tilt: -0.076444, zoom: 0.0
X: 1800, Y: 567, pan: 0.003222, tilt: 0.201778, zoom: 0.0
X: 1505, Y: 680, pan: 0.009222, tilt: -0.218667, zoom: 0.0
X: 1376, Y: 722, pan: 0.010778, tilt: -0.358667, zoom: 0.0
X: 992, Y: 785, pan: 0.010389, tilt: -0.795111, zoom: 0.0
X: 1572, Y: 785, pan: 0.063944, tilt: -0.142222, zoom: 0.0
X: 1418, Y: 831, pan: 0.081667, tilt: -0.334222, zoom: 0.0
X: 1227, Y: 1005, pan: 0.219611, tilt: -0.468444, zoom: 0.0
X: 140, Y: 596, pan: -0.915833, tilt: -0.161778, zoom: 0.0
X: 817, Y: 917, pan: 0.637833, tilt: -0.820889, zoom: 0.0
X: 669, Y: 946, pan: 0.785611, tilt: -0.673333, zoom: 0.0
X: 574, Y: 888, pan: 0.905444, tilt: -0.62, zoom: 0.0
X: 489, Y: 865, pan: 0.939833, tilt: -0.522889, zoom: 0.0
X: 12, Y: 734, pan: -0.998722, tilt: -0.094444, zoom: 0.0
X: 769, Y: 542, pan: -0.578056, tilt: -0.605333, zoom: 0.0
X: 448, Y: 521, pan: -0.743889, tilt: -0.477111, zoom: 0.0
X: 290, Y: 625, pan: -0.892389, tilt: -0.377333, zoom: 0.0
X: 454, Y: 271, pan: -0.694556, tilt: -0.167333, zoom: 0.0
X: 1469, Y: 1013, pan: 0.179889, tilt: -0.172667, zoom: 0.0
X: 1183, Y: 777, pan: 0.031889, tilt: -0.583333, zoom: 0.0
